Chemin_Fichier,Date_Heure_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9186.jpeg,2025-12-14 09:23:12.777065516,frozen yogurt,15.11%,OK
../data/raw/p01/food-images/IMG_9187.jpeg,2025-12-14 09:23:11.975304604,frozen yogurt,21.29%,OK
../data/raw/p01/food-images/IMG_9188.jpeg,2025-12-14 09:23:07.974912643,fried calamari,17.56%,OK
../data/raw/p01/food-images/IMG_9199.jpeg,2025-12-14 09:23:08.545794964,spring rolls,29.59%,OK
../data/raw/p01/food-images/IMG_9200.jpeg,2025-12-14 09:23:11.869118452,cheese plate,34.74%,OK
../data/raw/p01/food-images/IMG_9201.jpeg,2025-12-14 09:23:12.894939899,ice cream,10.79%,OK
../data/raw/p01/food-images/IMG_9202.jpeg,2025-12-14 09:23:07.041343451,pizza,51.85%,OK
../data/raw/p01/food-images/IMG_9203.jpeg,2025-12-14 09:23:08.263255835,fried calamari,25.04%,OK
../data/raw/p01/food-images/IMG_9204.jpeg,2025-12-14 09:23:09.036286592,edamame,38.80%,OK
../data/raw/p01/food-images/IMG_9205.jpeg,2025-12-14 09:23:09.638359785,miso soup,33.67%,OK
../data/raw/p01/food-images/IMG_9206.jpeg,2025-12-14 09:23:10.703415871,macarons,26.41%,OK
../data/raw/p01/food-images/IMG_9207.jpeg,2025-12-14 09:23:11.036346674,macarons,13.39%,OK
../data/raw/p01/food-images/IMG_9208.jpeg,2025-12-14 09:23:08.578199625,tacos,20.82%,OK
../data/raw/p01/food-images/IMG_9209.jpeg,2025-12-14 09:23:10.050905943,fried calamari,18.09%,OK
../data/raw/p01/food-images/IMG_9210.jpeg,2025-12-14 09:23:10.837572575,fried rice,16.01%,OK
../data/raw/p01/food-images/IMG_9211.jpeg,2025-12-14 09:23:10.914264917,macarons,27.69%,OK
../data/raw/p01/food-images/IMG_9212.jpeg,2025-12-14 09:23:08.907479525,foie gras,12.38%,OK
../data/raw/p01/food-images/IMG_9214.jpeg,2025-12-14 09:23:06.913207769,macarons,12.96%,OK
../data/raw/p01/food-images/IMG_9215.jpeg,2025-12-14 09:23:08.440824747,paella,9.28%,OK
../data/raw/p01/food-images/IMG_9216.jpeg,2025-12-14 09:23:12.017687559,churros,7.48%,OK
../data/raw/p01/food-images/IMG_9217.jpeg,2025-12-14 09:23:12.760582924,pancakes,49.50%,OK
../data/raw/p01/food-images/IMG_9220.jpeg,2025-12-14 09:23:12.174531937,pizza,43.72%,OK
../data/raw/p01/food-images/IMG_9223.jpeg,2025-12-14 09:23:07.748374462,foie gras,14.20%,OK
../data/raw/p01/food-images/IMG_9224.jpeg,2025-12-14 09:23:08.679198503,cup cakes,12.69%,OK
../data/raw/p01/food-images/IMG_9225.jpeg,2025-12-14 09:23:09.916111708,ice cream,8.02%,OK
../data/raw/p01/food-images/IMG_9226.jpeg,2025-12-14 09:23:10.281056166,macarons,17.03%,OK
../data/raw/p01/food-images/IMG_9228.jpeg,2025-12-14 09:23:09.183292150,greek salad,27.21%,OK
../data/raw/p01/food-images/IMG_9229.jpeg,2025-12-14 09:23:09.502536058,edamame,10.65%,OK
../data/raw/p01/food-images/IMG_9230.jpeg,2025-12-14 09:23:10.233583450,cup cakes,12.50%,OK
../data/raw/p01/food-images/IMG_9231.jpeg,2025-12-14 09:23:11.606465578,ice cream,9.27%,OK
../data/raw/p01/food-images/IMG_9232.jpeg,2025-12-14 09:23:08.812560797,churros,20.84%,OK
../data/raw/p01/food-images/IMG_9233.jpeg,2025-12-14 09:23:09.865447044,tacos,12.40%,OK
../data/raw/p01/food-images/IMG_9234.jpeg,2025-12-14 09:23:07.468823195,pizza,7.77%,OK
../data/raw/p01/food-images/IMG_9236.jpeg,2025-12-14 09:23:12.127522229,cheese plate,56.28%,OK
../data/raw/p01/food-images/IMG_9238.jpeg,2025-12-14 09:23:07.196360826,macarons,23.56%,OK
../data/raw/p01/food-images/IMG_9240.jpeg,2025-12-14 09:23:12.800925493,caprese salad,7.17%,OK
../data/raw/p01/food-images/IMG_9241.jpeg,2025-12-14 09:23:11.947899580,churros,44.79%,OK
../data/raw/p01/food-images/IMG_9242.jpeg,2025-12-14 09:23:08.383796692,panna cotta,10.54%,OK
../data/raw/p01/food-images/IMG_9243.jpeg,2025-12-14 09:23:06.928215265,gnocchi,31.66%,OK
../data/raw/p01/food-images/IMG_9244.jpeg,2025-12-14 09:23:09.732343912,panna cotta,11.22%,OK
../data/raw/p01/food-images/IMG_9251.jpeg,2025-12-14 09:23:10.764051914,ice cream,26.36%,OK
../data/raw/p01/food-images/IMG_9252.jpeg,2025-12-14 09:23:09.697035789,ice cream,34.17%,OK
../data/raw/p01/food-images/IMG_9253.jpeg,2025-12-14 09:23:08.983482838,ice cream,10.25%,OK
../data/raw/p01/food-images/IMG_9254.jpeg,2025-12-14 09:23:08.323784113,panna cotta,22.46%,OK
../data/raw/p01/food-images/IMG_9255.jpeg,2025-12-14 09:23:06.997676373,lobster bisque,17.04%,OK
