participant_id,image_path,detected_foods,estimated_calories
p01,data/raw/p01/food-images/IMG_9232.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9233.jpeg,"['cheeseburger', 'cheese']",700
p01,data/raw/p01/food-images/IMG_9234.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9236.jpeg,"['pizza', 'cheeseburger', 'cheese', 'hotdog']",1240
p01,data/raw/p01/food-images/IMG_9238.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9240.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9241.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9242.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9243.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9244.jpeg,['orange'],47
p01,data/raw/p01/food-images/IMG_9251.jpeg,['fish'],180
p01,data/raw/p01/food-images/IMG_9252.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9253.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9254.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9255.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9257.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9258.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9259.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9260.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9261.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9262.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9263.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9264.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9265.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9266.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9268.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9269.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9270.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9271.jpeg,['orange'],47
p01,data/raw/p01/food-images/IMG_9273.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9274.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9275.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9278.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9280.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9281.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9282.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9283.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9285.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9286.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9287.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9288.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9290.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9291.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9292.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9293.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9294.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9295.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9296.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9297.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9298.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9299.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9300.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9301.jpeg,"['spaghetti', 'banana']",309
p01,data/raw/p01/food-images/IMG_9302.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9303.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9304.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9305.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9307.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9308.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9309.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9310.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9311.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9313.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9314.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9315.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9316.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9317.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9318.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9321.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9322.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9323.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9324.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9325.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9326.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9327.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9328.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9329.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9330.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9331.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9332.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9333.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9336.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9337.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9339.jpeg,"['spaghetti', 'banana']",309
p01,data/raw/p01/food-images/IMG_9340.jpeg,"['chocolate', 'pizza']",780
p01,data/raw/p01/food-images/IMG_9342.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9343.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9344.jpeg,"['spaghetti', 'banana']",309
p01,data/raw/p01/food-images/IMG_9345.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9346.jpeg,['strawberry'],32
p01,data/raw/p01/food-images/IMG_9347.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9350.jpeg,['chocolate'],500
